D-LED-BLUE-0603,C5151484,In-Stock,9610,0.0268,80,80
RES-000R0-0603,C103195,In-Stock,15800,0.0011,200,200
RES-010R0-0603,C103222,In-Stock,14500,0.0012,100,100
RES-033R0-0603,C125766,In-Stock,144100,0.0012,300,300
RES-100R0-0603,C103197,In-Stock,50200,0.0011,200,200
RES-001K0-0603,C3016283,In-Stock,49200,0.001,200,200
RES-004K7-0603,C103656,In-Stock,7100,0.0012,200,200
RES-010K0-0603,C108449,In-Stock,110900,0.0011,400,400
RES-047K0-0603,C103657,In-Stock,2800,0.0012,100,100
RES-056K0-0603,C163937,In-Stock,6000,0.0006,100,100
RES-100K0-0603,C14675,In-Stock,1228000,0.001,100,100
RES-033K0-0603,C126359,In-Stock,305100,0.0012,100,100
RES-056R0-0603,C2930118,In-Stock,5300,0.001,100,100
RES-220R0-0603,C107696,In-Stock,490100,0.0012,100,100
RES-001M0-0603,C105578,In-Stock,1258000,0.0012,100,100
RES-005K1-0603,C2907044,In-Stock,7847700,0.0008,100,100
CAP-010N0-0603,C525264,In-Stock,133400,0.002,100,100
CAP-100N0-0603,C30926,In-Stock,3606400,0.0023,500,500
CAP-002U2-0603,C162273,In-Stock,150040,0.0327,100,100
CAP-010U0-0805,C440198,In-Stock,4914900,0.0506,100,100
CAP-047U0-1210,C5440143,In-Stock,54775,0.0767,100,100
CAP-001U0-0603,C15849,In-Stock,6088950,0.0049,100,100
CAP-004N7-0603,C1621,In-Stock,413000,0.0048,100,100
CAP-010U0-0603,C19702,In-Stock,24011500,0.0058,100,100
CAP-022P0-0603,C1653,In-Stock,916000,0.004,100,100
CAP-022U0-0603,C64705,In-Stock,380600,0.0081,100,100
CAP-220N0-0603,C64705,In-Stock,380600,0.0081,100,100
CONN-TB2-5MM,C3819953,In-Stock,401,0.4194,10,10
CONN-TB4-5MM,C395860,In-Stock,5585,0.1354,10,10
CONN-XT_60-RCPT-RA,C98732,In-Stock,28211,0.4884,10,10
CONN-XT_60-PLUG,C99108,In-Stock,2370,0.3536,20,20
CONN-XT_30-RCPT-RA,C30170175,In-Stock,1812,0.2333,10,10
CONN-XT_30-RCPT-W2W,C99101,In-Stock,44955,0.2627,30,30
CONN-XT_30-PLUG,C19268021,In-Stock,115,0.1287,30,30
CONN-USB-C,C5184243,In-Stock,258,0.7594,10,10
CONN-USB-B,C132563,In-Stock,20115,0.2157,10,10
CONN-PCIE-36,C598503,In-Stock,20,2.5813,10,10
MISC-TP-5015,C5199798,In-Stock,71605,0.0707,50,50
MISC-FB-BLM18KG,C160982,In-Stock,24000,0.0195,30,50
MISC-FUSE-0603,C41380234,In-Stock,14540,0.0396,20,20
